Timestamp (seconds),Distance (mm),Button Pressed
1739139187.962,0,False
1739139188.264,0,False
1739139188.566,0,False
1739139188.869,0,False
1739139189.171,0,False
1739139189.473,0,False
1739139189.775,0,False
1739139190.077,0,False
1739139190.379,0,False
1739139190.681,0,False
1739139190.983,0,False
1739139191.286,0,False
1739139191.588,0,False
1739139191.890,0,False
1739139192.192,0,False
1739139192.494,0,False
1739139192.796,0,False
1739139193.098,0,False
1739139193.401,0,False
1739139193.703,0,False
1739139194.005,0,False
1739139194.307,0,False
1739139194.610,0,False
1739139194.912,0,False
1739139195.214,0,False
1739139195.516,0,False
1739139195.818,0,False
1739139196.120,0,False
1739139196.422,0,False
1739139196.724,0,False
1739139197.026,0,False
1739139197.328,0,False
1739139197.630,0,False
1739139197.932,0,False
1739139198.235,0,False
1739139198.537,0,False
1739139198.839,0,False
1739139199.141,0,False
1739139199.443,0,False
1739139199.745,0,False
1739139200.047,0,False
1739139200.349,0,False
1739139200.652,0,False
1739139200.954,0,False
1739139201.256,0,False
1739139201.558,0,False
1739139201.860,0,False
1739139202.162,0,False
1739139202.464,0,False
1739139202.766,0,False
1739139203.068,0,False
1739139203.370,0,False
1739139203.672,0,False
1739139203.975,0,False
1739139204.277,0,False
1739139204.579,0,False
1739139204.881,0,False
1739139205.183,0,False
1739139205.485,0,False
1739139205.787,0,False
1739139206.089,0,False
1739139206.392,0,False
1739139206.694,0,False
1739139206.996,0,False
1739139207.298,0,False
1739139207.600,0,False
1739139207.902,0,False
1739139208.204,0,False
1739139208.506,0,False
1739139208.808,0,False
1739139209.110,0,False
1739139209.412,0,False
1739139209.715,0,False
1739139210.017,0,False
1739139210.319,0,False
1739139210.621,0,False
1739139210.923,0,False
1739139211.225,0,False
1739139211.527,0,False
1739139211.829,0,False
1739139212.433,0,False
1739139212.735,0,False
1739139213.038,0,False
1739139213.340,0,False
1739139213.642,0,False
1739139213.944,0,False
1739139214.246,0,False
1739139214.549,0,False
1739139214.851,0,False
1739139215.153,0,False
1739139215.455,0,False
1739139215.758,0,False
1739139216.060,0,False
1739139216.362,0,False
1739139216.665,0,False
1739139216.967,0,False
1739139217.269,0,False
1739139217.571,0,False
1739139217.873,0,False
1739139218.176,0,False
1739139218.478,0,False
1739139218.780,0,False
1739139219.082,0,False
1739139219.384,0,False
1739139219.687,0,False
1739139219.989,0,False
1739139220.291,0,False
1739139220.593,0,False
1739139221.197,0,False
1739139221.500,0,False
1739139221.802,0,False
1739139222.105,0,False
1739139222.407,0,False
1739139222.709,0,False
1739139223.012,0,False
1739139223.314,0,False
1739139223.616,0,False
1739139223.919,0,False
1739139224.221,0,False
1739139224.523,0,False
1739139224.826,0,False
1739139225.128,0,False
1739139225.431,0,False
1739139225.733,0,False
1739139226.035,0,False
1739139226.338,0,False
1739139226.640,0,False
1739139226.942,0,False
1739139227.245,0,False
1739139227.547,0,False
1739139227.850,0,False
1739139228.152,0,False
1739139228.455,0,False
1739139228.757,0,False
1739139229.059,0,False
1739139229.362,0,False
1739139229.664,0,False
1739139229.966,0,False
1739139230.269,0,False
1739139230.571,0,False
1739139230.874,0,False
1739139231.176,0,False
1739139231.478,0,False
1739139231.781,0,False
1739139232.083,0,False
1739139232.385,0,False
1739139232.688,0,False
1739139232.990,0,False
1739139233.292,0,False
1739139233.594,0,False
1739139233.896,0,False
1739139234.199,0,False
1739139234.501,0,False
1739139234.803,0,False
1739139235.105,0,False
1739139235.408,0,False
1739139235.710,0,False
1739139236.012,0,False
1739139236.314,0,False
1739139236.617,0,False
1739139236.919,0,False
1739139237.221,0,False
1739139237.523,0,False
1739139237.826,0,False
1739139238.128,0,False
1739139238.430,0,False
1739139238.732,0,False
1739139239.035,0,False
1739139239.337,0,False
1739139239.639,0,False
1739139239.941,0,False
1739139240.243,0,False
1739139240.546,0,False
1739139240.848,0,False
1739139241.150,0,False
1739139241.452,0,False
1739139241.754,0,False
1739139242.056,0,False
1739139242.359,0,False
1739139242.661,0,False
1739139242.963,0,False
1739139243.265,0,False
1739139243.567,0,False
1739139243.869,0,False
1739139244.171,0,False
1739139244.473,0,False
1739139244.775,0,False
1739139245.078,0,False
1739139245.380,0,False
1739139245.682,0,False
1739139245.984,0,False
1739139246.286,0,False
1739139246.588,0,False
1739139246.890,0,False
